TeslaModel,HomeChargerAvailable,Segment,ChargingFrequency,LocationPreference,PriceSensitivity,SpeedPreference,ChosenStationPrice,ChosenStationSpeed,ChosenStationLocation,ConjointPrice,ConjointSpeed,ConjointPerks,PlanType,UsageLimit,AdSpend,StationUsage,Revenue,CampaignType,FirstTimeUser,DiscountApplied,UserLocation
Model Y,Yes,Long-Distance Traveler,1,Supercharger - Highway,High,Fast,0.35,Fast,Urban,0.45,Fast,None,Unlimited Fast-Charging,50 kWh/month,3430.3,17,59.5,Loyalty Program,Yes,No,Rural
Model S,Yes,Urban Commuter,1,Supercharger - Highway,High,Moderate,0.38,Fast,Destination,0.35,Fast,Lounge Access,Pay-Per-Use,50 kWh/month,3955.85,18,68.4,Loyalty Program,No,No,Suburban
Model 3,Yes,Long-Distance Traveler,2,Destination Charger,Medium,Fast,0.46,Fast,Urban,0.45,Fast,App Navigation Integration,Monthly Subscription,Up to 200 kWh,4823.28,20,92,None,No,No,Rural
Model Y,No,Urban Commuter,1,Supercharger - Highway,Medium,Fast,0.41,Fast,Destination,0.35,Fast,Nearby Amenities,Unlimited Fast-Charging,Unlimited,2747.97,23,94.3,None,No,No,Urban
Model X,Yes,Long-Distance Traveler,3,Supercharger - Highway,Low,Fast,0.4,Fast,Destination,0.25,Fast,None,Unlimited Fast-Charging,Unlimited,1004.44,22,88,Discount,Yes,No,Urban
Model X,No,Urban Commuter,2,Home,Low,Moderate,0.29,Fast,Destination,0.35,Fast,Nearby Amenities,Pay-Per-Use,Unlimited,2483.45,27,78.3,None,No,No,Urban
Model X,Yes,Urban Commuter,2,Destination Charger,High,Fast,0.38,Fast,Destination,0.35,Fast,None,Unlimited Fast-Charging,50 kWh/month,2655.37,16,60.8,Discount,No,No,Highway Region
Model 3,No,Urban Commuter,6,Supercharger - Urban,High,Moderate,0.43,Fast,Destination,0.35,Fast,Lounge Access,Unlimited Fast-Charging,50 kWh/month,4536.47,17,73.1,Discount,No,No,Urban
Model 3,No,Long-Distance Traveler,4,Supercharger - Highway,Low,Moderate,0.49,Fast,Highway,0.25,Fast,None,Pay-Per-Use,Unlimited,2276.6,28,137.2,Discount,Yes,Yes,Suburban
Model Y,Yes,Urban Commuter,1,Supercharger - Urban,Low,Moderate,0.3,Fast,Destination,0.25,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,4789.96,18,54,Discount,No,No,Rural
Model Y,No,Urban Commuter,5,Supercharger - Urban,Medium,Fast,0.25,Fast,Highway,0.25,Fast,Nearby Amenities,Unlimited Fast-Charging,Up to 200 kWh,2683.09,21,52.5,Discount,No,No,Rural
Model Y,No,Urban Commuter,2,Home,Low,Fast,0.27,Fast,Urban,0.25,Fast,App Navigation Integration,Monthly Subscription,Up to 200 kWh,4882.01,23,62.1,Discount,Yes,Yes,Rural
Model Y,Yes,Urban Commuter,3,Supercharger - Highway,Low,Fast,0.34,Fast,Destination,0.45,Fast,None,Monthly Subscription,50 kWh/month,536.89,24,81.6,None,No,No,Rural
Model 3,Yes,Urban Commuter,3,Destination Charger,High,Moderate,0.46,Fast,Urban,0.25,Fast,Nearby Amenities,Monthly Subscription,Unlimited,4544.67,23,105.8,None,No,No,Suburban
Model 3,Yes,Urban Commuter,3,Supercharger - Highway,Low,Fast,0.25,Fast,Destination,0.35,Fast,App Navigation Integration,Monthly Subscription,Unlimited,4690.04,22,55,Referral,Yes,Yes,Rural
Model Y,No,Long-Distance Traveler,4,Supercharger - Urban,High,Fast,0.36,Fast,Highway,0.25,Fast,Lounge Access,Monthly Subscription,Up to 200 kWh,4824.59,21,75.6,None,Yes,Yes,Suburban
Model X,No,Long-Distance Traveler,2,Destination Charger,Low,Fast,0.33,Fast,Highway,0.45,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,558.84,21,69.3,Loyalty Program,No,No,Suburban
Model X,No,Urban Commuter,7,Supercharger - Highway,Medium,Fast,0.26,Fast,Highway,0.45,Fast,App Navigation Integration,Unlimited Fast-Charging,Unlimited,1272.65,16,41.6,Referral,No,No,Rural
Model Y,Yes,Long-Distance Traveler,2,Supercharger - Urban,Low,Fast,0.36,Fast,Urban,0.45,Fast,Nearby Amenities,Monthly Subscription,Unlimited,3441.94,24,86.4,None,No,No,Rural
Model Y,No,Long-Distance Traveler,7,Supercharger - Urban,Low,Moderate,0.31,Fast,Destination,0.35,Fast,None,Pay-Per-Use,50 kWh/month,614.63,18,55.8,Loyalty Program,Yes,Yes,Rural
Model 3,Yes,Urban Commuter,2,Home,Low,Moderate,0.34,Fast,Urban,0.25,Fast,App Navigation Integration,Monthly Subscription,50 kWh/month,786.24,23,78.2,None,No,No,Suburban
Model 3,Yes,Urban Commuter,1,Home,High,Moderate,0.43,Fast,Highway,0.25,Fast,None,Unlimited Fast-Charging,Unlimited,1494.85,10,43,Discount,No,No,Highway Region
Model S,Yes,Urban Commuter,1,Home,Medium,Moderate,0.38,Fast,Urban,0.25,Fast,Lounge Access,Pay-Per-Use,50 kWh/month,2805.98,22,83.6,Referral,Yes,Yes,Suburban
Model 3,Yes,Long-Distance Traveler,1,Supercharger - Urban,Low,Fast,0.28,Fast,Highway,0.35,Fast,None,Monthly Subscription,50 kWh/month,2956.56,15,42,Discount,No,No,Highway Region
Model S,Yes,Urban Commuter,3,Supercharger - Highway,High,Moderate,0.49,Fast,Highway,0.35,Fast,App Navigation Integration,Pay-Per-Use,50 kWh/month,654.18,29,142.1,Referral,Yes,Yes,Rural
Model 3,Yes,Long-Distance Traveler,2,Home,Medium,Fast,0.41,Fast,Highway,0.45,Fast,Nearby Amenities,Monthly Subscription,Unlimited,1266.65,21,86.1,Referral,No,No,Suburban
Model 3,Yes,Urban Commuter,2,Supercharger - Highway,High,Moderate,0.44,Fast,Destination,0.45,Fast,App Navigation Integration,Unlimited Fast-Charging,Up to 200 kWh,2748.68,24,105.6,Discount,No,No,Rural
Model 3,Yes,Long-Distance Traveler,2,Home,High,Moderate,0.27,Fast,Destination,0.25,Fast,None,Monthly Subscription,50 kWh/month,3172.73,24,64.8,Referral,No,No,Highway Region
Model 3,Yes,Urban Commuter,2,Destination Charger,Medium,Moderate,0.26,Fast,Highway,0.35,Fast,None,Pay-Per-Use,Unlimited,1167.81,19,49.4,Referral,Yes,Yes,Highway Region
Model S,Yes,Urban Commuter,2,Destination Charger,Low,Fast,0.25,Fast,Urban,0.35,Fast,Nearby Amenities,Unlimited Fast-Charging,Up to 200 kWh,2294.79,35,87.5,None,No,No,Suburban
Model S,Yes,Long-Distance Traveler,3,Home,High,Fast,0.3,Fast,Urban,0.25,Fast,Lounge Access,Monthly Subscription,Unlimited,4569.81,25,75,Loyalty Program,No,No,Suburban
Model Y,Yes,Long-Distance Traveler,1,Supercharger - Urban,High,Moderate,0.35,Fast,Destination,0.25,Fast,App Navigation Integration,Monthly Subscription,Unlimited,4995.05,21,73.5,Discount,No,No,Suburban
Model 3,Yes,Long-Distance Traveler,3,Home,Low,Fast,0.48,Fast,Highway,0.45,Fast,Nearby Amenities,Monthly Subscription,Unlimited,4942.47,21,100.8,None,No,No,Suburban
Model S,Yes,Long-Distance Traveler,3,Home,Low,Moderate,0.36,Fast,Urban,0.45,Fast,Nearby Amenities,Monthly Subscription,Up to 200 kWh,4467.54,18,64.8,None,Yes,Yes,Urban
Model 3,Yes,Long-Distance Traveler,3,Supercharger - Urban,Medium,Moderate,0.32,Fast,Highway,0.45,Fast,Nearby Amenities,Unlimited Fast-Charging,Unlimited,2275.97,17,54.4,Discount,No,No,Urban
Model Y,Yes,Long-Distance Traveler,1,Destination Charger,Medium,Moderate,0.39,Fast,Urban,0.25,Fast,App Navigation Integration,Unlimited Fast-Charging,Up to 200 kWh,3589.58,19,74.1,Referral,No,No,Rural
Model 3,Yes,Urban Commuter,1,Supercharger - Highway,Medium,Fast,0.28,Fast,Destination,0.25,Fast,App Navigation Integration,Monthly Subscription,50 kWh/month,2374.67,16,44.8,Discount,No,No,Highway Region
Model X,Yes,Long-Distance Traveler,2,Home,Low,Moderate,0.4,Fast,Highway,0.45,Fast,App Navigation Integration,Unlimited Fast-Charging,Up to 200 kWh,3418.37,20,80,Loyalty Program,No,No,Highway Region
Model S,No,Urban Commuter,6,Supercharger - Urban,High,Moderate,0.39,Fast,Highway,0.45,Fast,Lounge Access,Pay-Per-Use,Unlimited,1892.45,16,62.4,Loyalty Program,No,No,Rural
Model S,Yes,Urban Commuter,2,Home,High,Moderate,0.45,Fast,Urban,0.35,Fast,Nearby Amenities,Unlimited Fast-Charging,Up to 200 kWh,3227.91,24,108,Discount,Yes,Yes,Rural
Model 3,Yes,Long-Distance Traveler,1,Supercharger - Urban,Medium,Fast,0.5,Fast,Urban,0.35,Fast,None,Pay-Per-Use,Unlimited,2856.91,17,85,None,No,No,Rural
Model 3,Yes,Urban Commuter,1,Supercharger - Highway,Low,Moderate,0.31,Fast,Urban,0.45,Fast,None,Pay-Per-Use,50 kWh/month,610.16,22,68.2,Discount,No,No,Urban
Model X,Yes,Long-Distance Traveler,1,Supercharger - Highway,High,Fast,0.38,Fast,Highway,0.45,Fast,Nearby Amenities,Unlimited Fast-Charging,Up to 200 kWh,4058.16,15,57,Loyalty Program,No,No,Rural
Model X,Yes,Long-Distance Traveler,1,Destination Charger,Medium,Moderate,0.48,Fast,Destination,0.35,Fast,None,Monthly Subscription,50 kWh/month,553.54,21,100.8,Discount,No,No,Highway Region
Model Y,Yes,Urban Commuter,3,Supercharger - Urban,High,Fast,0.45,Fast,Destination,0.45,Fast,Lounge Access,Unlimited Fast-Charging,Up to 200 kWh,1819.2,24,108,Referral,No,No,Rural
Model 3,Yes,Urban Commuter,2,Supercharger - Urban,High,Moderate,0.37,Fast,Urban,0.35,Fast,Lounge Access,Pay-Per-Use,Unlimited,526.66,18,66.6,Discount,Yes,Yes,Suburban
Model 3,Yes,Long-Distance Traveler,1,Destination Charger,Low,Moderate,0.49,Fast,Destination,0.35,Fast,App Navigation Integration,Pay-Per-Use,Up to 200 kWh,2192.91,18,88.2,None,No,No,Highway Region
Model Y,Yes,Long-Distance Traveler,2,Destination Charger,Low,Fast,0.26,Fast,Urban,0.35,Fast,App Navigation Integration,Unlimited Fast-Charging,50 kWh/month,784.22,24,62.4,Referral,No,No,Highway Region
Model 3,No,Urban Commuter,2,Supercharger - Urban,High,Fast,0.48,Fast,Destination,0.25,Fast,App Navigation Integration,Pay-Per-Use,Up to 200 kWh,4610.8,15,72,Loyalty Program,No,No,Highway Region
Model 3,No,Urban Commuter,3,Destination Charger,Medium,Moderate,0.26,Fast,Highway,0.25,Fast,App Navigation Integration,Unlimited Fast-Charging,50 kWh/month,2370.56,21,54.6,Discount,Yes,Yes,Urban
Model S,No,Urban Commuter,4,Supercharger - Highway,Low,Fast,0.39,Fast,Urban,0.45,Fast,App Navigation Integration,Unlimited Fast-Charging,50 kWh/month,2567.73,10,39,None,Yes,Yes,Urban
Model S,No,Urban Commuter,2,Home,High,Moderate,0.47,Fast,Destination,0.35,Fast,None,Monthly Subscription,Unlimited,2074.33,24,112.8,None,No,No,Highway Region
Model Y,Yes,Long-Distance Traveler,1,Supercharger - Highway,Low,Moderate,0.32,Fast,Highway,0.25,Fast,None,Pay-Per-Use,Up to 200 kWh,3323.78,25,80,Loyalty Program,No,No,Suburban
Model Y,Yes,Long-Distance Traveler,2,Destination Charger,Low,Moderate,0.37,Fast,Destination,0.45,Fast,App Navigation Integration,Unlimited Fast-Charging,50 kWh/month,4029.84,19,70.3,Discount,No,No,Highway Region
Model X,Yes,Long-Distance Traveler,3,Supercharger - Urban,Low,Fast,0.33,Fast,Highway,0.45,Fast,Lounge Access,Pay-Per-Use,Unlimited,3416.66,14,46.2,None,No,No,Urban
Model 3,Yes,Long-Distance Traveler,1,Supercharger - Urban,High,Moderate,0.49,Fast,Highway,0.45,Fast,None,Unlimited Fast-Charging,Unlimited,3866.93,21,102.9,Referral,No,No,Suburban
Model S,No,Urban Commuter,1,Supercharger - Highway,Medium,Fast,0.46,Fast,Destination,0.45,Fast,Lounge Access,Unlimited Fast-Charging,Unlimited,4576.88,20,92,Discount,Yes,Yes,Highway Region
Model S,Yes,Urban Commuter,3,Supercharger - Urban,Medium,Moderate,0.43,Fast,Destination,0.45,Fast,Lounge Access,Monthly Subscription,50 kWh/month,4385.96,25,107.5,Loyalty Program,No,No,Urban
Model 3,No,Long-Distance Traveler,5,Destination Charger,Medium,Fast,0.4,Fast,Highway,0.35,Fast,Nearby Amenities,Unlimited Fast-Charging,Up to 200 kWh,3533.26,19,76,Referral,No,No,Suburban
Model 3,Yes,Long-Distance Traveler,1,Supercharger - Highway,Low,Fast,0.46,Fast,Highway,0.45,Fast,Nearby Amenities,Monthly Subscription,50 kWh/month,1465.87,22,101.2,Discount,No,No,Rural
Model X,No,Long-Distance Traveler,1,Supercharger - Urban,High,Moderate,0.35,Fast,Highway,0.35,Fast,App Navigation Integration,Pay-Per-Use,Unlimited,3369.66,19,66.5,None,No,No,Rural
Model X,Yes,Long-Distance Traveler,1,Home,Low,Fast,0.36,Fast,Urban,0.25,Fast,Lounge Access,Monthly Subscription,50 kWh/month,2777.37,19,68.4,Loyalty Program,No,No,Highway Region
Model 3,Yes,Long-Distance Traveler,1,Home,Medium,Moderate,0.43,Fast,Highway,0.45,Fast,None,Monthly Subscription,50 kWh/month,3727.49,21,90.3,Loyalty Program,No,No,Rural
Model Y,Yes,Long-Distance Traveler,2,Destination Charger,Medium,Moderate,0.34,Fast,Urban,0.25,Fast,Nearby Amenities,Pay-Per-Use,Unlimited,4248.19,12,40.8,Discount,Yes,Yes,Urban
Model X,Yes,Long-Distance Traveler,2,Supercharger - Urban,High,Moderate,0.27,Fast,Highway,0.35,Fast,Nearby Amenities,Monthly Subscription,Up to 200 kWh,3842.25,15,40.5,Loyalty Program,No,No,Suburban
Model 3,Yes,Long-Distance Traveler,2,Destination Charger,Low,Moderate,0.27,Fast,Urban,0.35,Fast,Lounge Access,Monthly Subscription,Unlimited,4309.53,18,48.6,Referral,Yes,Yes,Highway Region
Model X,Yes,Long-Distance Traveler,1,Supercharger - Highway,Medium,Moderate,0.28,Fast,Highway,0.25,Fast,Nearby Amenities,Unlimited Fast-Charging,Unlimited,787.4,22,61.6,Discount,No,No,Suburban
Model 3,No,Urban Commuter,7,Home,High,Fast,0.47,Fast,Highway,0.45,Fast,Nearby Amenities,Monthly Subscription,50 kWh/month,642.29,17,79.9,Referral,No,No,Suburban
Model 3,Yes,Long-Distance Traveler,2,Supercharger - Highway,Low,Moderate,0.37,Fast,Highway,0.45,Fast,None,Unlimited Fast-Charging,Unlimited,1663.25,23,85.1,Loyalty Program,No,No,Suburban
Model 3,Yes,Urban Commuter,1,Supercharger - Urban,Low,Fast,0.43,Fast,Destination,0.25,Fast,Lounge Access,Monthly Subscription,50 kWh/month,4553,17,73.1,Loyalty Program,No,No,Urban
Model Y,Yes,Urban Commuter,1,Destination Charger,Medium,Fast,0.35,Fast,Destination,0.25,Fast,Nearby Amenities,Pay-Per-Use,Unlimited,4206.47,23,80.5,Loyalty Program,No,No,Highway Region
Model S,No,Long-Distance Traveler,4,Destination Charger,Medium,Moderate,0.31,Fast,Highway,0.25,Fast,Lounge Access,Pay-Per-Use,Unlimited,3572.27,18,55.8,Referral,No,No,Rural
Model S,Yes,Long-Distance Traveler,1,Destination Charger,Low,Fast,0.34,Fast,Urban,0.45,Fast,Nearby Amenities,Monthly Subscription,Up to 200 kWh,3653.41,22,74.8,Loyalty Program,Yes,Yes,Suburban
Model S,Yes,Urban Commuter,2,Supercharger - Highway,Low,Moderate,0.45,Fast,Urban,0.45,Fast,None,Unlimited Fast-Charging,Unlimited,3770.02,18,81,Discount,No,No,Suburban
Model S,Yes,Urban Commuter,2,Home,Medium,Fast,0.41,Fast,Highway,0.45,Fast,Lounge Access,Monthly Subscription,Up to 200 kWh,4741.71,28,114.8,None,No,No,Suburban
Model Y,Yes,Long-Distance Traveler,2,Supercharger - Highway,Low,Fast,0.48,Fast,Destination,0.25,Fast,Nearby Amenities,Unlimited Fast-Charging,Unlimited,4244.86,18,86.4,Discount,No,No,Urban
Model X,Yes,Urban Commuter,2,Supercharger - Highway,Medium,Fast,0.42,Fast,Urban,0.45,Fast,None,Monthly Subscription,Unlimited,3305.26,17,71.4,None,No,No,Rural
Model 3,Yes,Long-Distance Traveler,2,Supercharger - Urban,Low,Moderate,0.39,Fast,Destination,0.35,Fast,Nearby Amenities,Pay-Per-Use,Unlimited,3495.72,10,39,Loyalty Program,Yes,Yes,Suburban
Model S,Yes,Long-Distance Traveler,3,Supercharger - Urban,Medium,Fast,0.4,Fast,Urban,0.25,Fast,Lounge Access,Pay-Per-Use,Up to 200 kWh,1461.83,21,84,Discount,Yes,No,Urban
Model 3,No,Long-Distance Traveler,6,Supercharger - Urban,High,Moderate,0.49,Fast,Highway,0.45,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,3457.93,26,127.4,Referral,Yes,Yes,Urban
Model 3,Yes,Urban Commuter,3,Home,Medium,Fast,0.45,Fast,Destination,0.25,Fast,Lounge Access,Monthly Subscription,Up to 200 kWh,2411.06,17,76.5,None,No,No,Suburban
Model S,Yes,Urban Commuter,3,Home,Medium,Fast,0.26,Fast,Urban,0.35,Fast,Lounge Access,Unlimited Fast-Charging,Unlimited,1188.33,14,36.4,Referral,Yes,Yes,Suburban
Model 3,Yes,Long-Distance Traveler,3,Supercharger - Urban,High,Fast,0.38,Fast,Highway,0.35,Fast,Nearby Amenities,Pay-Per-Use,50 kWh/month,4128.81,15,57,None,Yes,Yes,Urban
Model 3,No,Urban Commuter,4,Supercharger - Urban,Low,Fast,0.42,Fast,Highway,0.25,Fast,None,Unlimited Fast-Charging,Unlimited,2796.11,19,79.8,Loyalty Program,No,No,Urban
Model X,Yes,Urban Commuter,1,Home,High,Moderate,0.44,Fast,Highway,0.25,Fast,App Navigation Integration,Monthly Subscription,Up to 200 kWh,4898.41,15,66,Discount,No,No,Suburban
Model X,No,Urban Commuter,2,Destination Charger,Medium,Moderate,0.3,Fast,Destination,0.35,Fast,None,Unlimited Fast-Charging,Up to 200 kWh,1767.56,10,30,None,No,No,Urban
Model S,Yes,Urban Commuter,2,Home,Low,Fast,0.47,Fast,Destination,0.25,Fast,None,Monthly Subscription,50 kWh/month,2663.02,22,103.4,Discount,No,No,Urban
Model 3,Yes,Urban Commuter,1,Home,High,Fast,0.49,Fast,Highway,0.35,Fast,Nearby Amenities,Monthly Subscription,Up to 200 kWh,2515.98,22,107.8,None,No,No,Suburban
Model X,Yes,Urban Commuter,1,Home,Low,Moderate,0.31,Fast,Destination,0.35,Fast,None,Pay-Per-Use,Unlimited,1043.51,19,58.9,None,No,No,Suburban
Model 3,No,Urban Commuter,5,Supercharger - Urban,Low,Moderate,0.47,Fast,Urban,0.45,Fast,None,Monthly Subscription,50 kWh/month,2417.52,18,84.6,Loyalty Program,No,No,Highway Region
Model Y,Yes,Long-Distance Traveler,3,Destination Charger,High,Moderate,0.27,Fast,Highway,0.25,Fast,App Navigation Integration,Monthly Subscription,Unlimited,1793.99,23,62.1,None,No,No,Rural
Model X,No,Urban Commuter,5,Home,Low,Moderate,0.26,Fast,Highway,0.25,Fast,None,Monthly Subscription,50 kWh/month,1221.44,19,49.4,Referral,No,No,Suburban
Model S,No,Urban Commuter,1,Supercharger - Urban,High,Fast,0.28,Fast,Destination,0.45,Fast,App Navigation Integration,Unlimited Fast-Charging,50 kWh/month,1769.7,21,58.8,None,No,No,Suburban
Model S,Yes,Urban Commuter,3,Supercharger - Highway,Medium,Fast,0.26,Fast,Highway,0.35,Fast,Nearby Amenities,Pay-Per-Use,Unlimited,1549.63,20,52,None,Yes,Yes,Suburban
Model X,Yes,Urban Commuter,2,Supercharger - Highway,Low,Moderate,0.46,Fast,Urban,0.25,Fast,App Navigation Integration,Unlimited Fast-Charging,Up to 200 kWh,3803.33,21,96.6,None,No,No,Rural
Model S,Yes,Urban Commuter,1,Home,Medium,Moderate,0.26,Fast,Destination,0.45,Fast,Lounge Access,Unlimited Fast-Charging,Unlimited,638.49,17,44.2,Loyalty Program,Yes,Yes,Highway Region
Model 3,Yes,Urban Commuter,1,Supercharger - Highway,Medium,Moderate,0.32,Fast,Destination,0.45,Fast,Lounge Access,Pay-Per-Use,Up to 200 kWh,3278.58,23,73.6,Discount,No,No,Urban
Model Y,No,Urban Commuter,5,Destination Charger,Low,Moderate,0.28,Fast,Highway,0.25,Fast,App Navigation Integration,Unlimited Fast-Charging,Up to 200 kWh,3922.98,21,58.8,Discount,Yes,No,Rural
Model 3,No,Urban Commuter,4,Supercharger - Highway,High,Moderate,0.32,Fast,Highway,0.45,Fast,Lounge Access,Unlimited Fast-Charging,Unlimited,2663.26,16,51.2,Loyalty Program,No,No,Suburban
Model 3,Yes,Long-Distance Traveler,3,Supercharger - Highway,Low,Moderate,0.27,Fast,Highway,0.35,Fast,Nearby Amenities,Monthly Subscription,50 kWh/month,4692.04,20,54,Referral,No,No,Suburban
Model X,Yes,Urban Commuter,3,Destination Charger,Medium,Fast,0.42,Fast,Destination,0.45,Fast,Lounge Access,Unlimited Fast-Charging,Unlimited,3685.46,24,100.8,Referral,No,No,Highway Region
Model 3,No,Urban Commuter,2,Home,Medium,Fast,0.28,Fast,Highway,0.35,Fast,App Navigation Integration,Pay-Per-Use,50 kWh/month,3865.66,26,72.8,Loyalty Program,No,No,Highway Region
Model 3,Yes,Urban Commuter,1,Home,High,Fast,0.46,Fast,Urban,0.35,Fast,Nearby Amenities,Unlimited Fast-Charging,Up to 200 kWh,1386.2,11,50.6,Discount,No,No,Highway Region
Model Y,No,Urban Commuter,5,Destination Charger,Low,Moderate,0.45,Fast,Highway,0.25,Fast,Lounge Access,Monthly Subscription,50 kWh/month,3997.83,24,108,Referral,No,No,Urban
Model 3,Yes,Long-Distance Traveler,1,Destination Charger,Medium,Moderate,0.25,Fast,Highway,0.45,Fast,Nearby Amenities,Unlimited Fast-Charging,Unlimited,4244.43,23,57.5,Loyalty Program,Yes,Yes,Rural
Model Y,Yes,Long-Distance Traveler,1,Destination Charger,Medium,Moderate,0.47,Fast,Destination,0.35,Fast,App Navigation Integration,Pay-Per-Use,50 kWh/month,2125.7,18,84.6,Discount,No,No,Rural
Model Y,Yes,Long-Distance Traveler,1,Supercharger - Highway,Medium,Fast,0.26,Fast,Highway,0.35,Fast,Lounge Access,Monthly Subscription,Up to 200 kWh,1460.13,21,54.6,Referral,No,No,Highway Region
Model S,Yes,Long-Distance Traveler,3,Destination Charger,High,Moderate,0.31,Fast,Destination,0.45,Fast,Nearby Amenities,Unlimited Fast-Charging,Up to 200 kWh,2232.73,13,40.3,Referral,Yes,Yes,Urban
Model S,Yes,Long-Distance Traveler,1,Supercharger - Urban,Medium,Moderate,0.26,Fast,Highway,0.35,Fast,Nearby Amenities,Pay-Per-Use,50 kWh/month,3828.24,19,49.4,Loyalty Program,No,No,Rural
Model S,Yes,Long-Distance Traveler,3,Supercharger - Highway,Medium,Fast,0.33,Fast,Urban,0.45,Fast,Lounge Access,Pay-Per-Use,Up to 200 kWh,2379.38,26,85.8,Discount,No,No,Suburban
Model S,Yes,Long-Distance Traveler,1,Home,Low,Moderate,0.38,Fast,Urban,0.25,Fast,Nearby Amenities,Unlimited Fast-Charging,Up to 200 kWh,3814.93,21,79.8,Referral,No,No,Suburban
Model S,No,Long-Distance Traveler,4,Home,Low,Fast,0.45,Fast,Destination,0.35,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,1011.04,19,85.5,Loyalty Program,No,No,Suburban
Model X,No,Long-Distance Traveler,1,Home,Medium,Fast,0.33,Fast,Destination,0.35,Fast,App Navigation Integration,Monthly Subscription,Up to 200 kWh,4127.05,24,79.2,Referral,No,No,Rural
Model S,Yes,Long-Distance Traveler,3,Supercharger - Highway,Medium,Moderate,0.43,Fast,Highway,0.45,Fast,App Navigation Integration,Unlimited Fast-Charging,50 kWh/month,1639.43,21,90.3,Discount,No,No,Highway Region
Model 3,Yes,Long-Distance Traveler,1,Supercharger - Urban,Low,Fast,0.3,Fast,Highway,0.45,Fast,App Navigation Integration,Monthly Subscription,50 kWh/month,1620.18,25,75,None,No,No,Suburban
Model Y,Yes,Long-Distance Traveler,3,Destination Charger,High,Moderate,0.44,Fast,Urban,0.45,Fast,App Navigation Integration,Unlimited Fast-Charging,Up to 200 kWh,3156.71,15,66,Referral,No,No,Highway Region
Model S,Yes,Long-Distance Traveler,3,Destination Charger,High,Fast,0.31,Fast,Highway,0.45,Fast,App Navigation Integration,Pay-Per-Use,50 kWh/month,815.53,17,52.7,Discount,Yes,Yes,Urban
Model Y,Yes,Long-Distance Traveler,1,Home,High,Moderate,0.29,Fast,Urban,0.35,Fast,App Navigation Integration,Pay-Per-Use,Up to 200 kWh,618.34,22,63.8,Referral,No,No,Suburban
Model 3,Yes,Long-Distance Traveler,3,Home,High,Fast,0.3,Fast,Destination,0.25,Fast,Lounge Access,Pay-Per-Use,Up to 200 kWh,1674.63,16,48,None,No,No,Urban
Model S,Yes,Long-Distance Traveler,1,Supercharger - Highway,High,Moderate,0.3,Fast,Highway,0.25,Fast,App Navigation Integration,Pay-Per-Use,Up to 200 kWh,2921.3,21,63,None,Yes,Yes,Highway Region
Model X,Yes,Urban Commuter,2,Supercharger - Urban,High,Fast,0.38,Fast,Destination,0.25,Fast,Nearby Amenities,Monthly Subscription,Unlimited,4584.27,14,53.2,Referral,Yes,Yes,Rural
Model X,Yes,Long-Distance Traveler,3,Destination Charger,High,Fast,0.46,Fast,Highway,0.25,Fast,Lounge Access,Pay-Per-Use,Up to 200 kWh,4308.96,12,55.2,Loyalty Program,No,No,Highway Region
Model Y,Yes,Urban Commuter,3,Supercharger - Highway,High,Fast,0.27,Fast,Urban,0.45,Fast,Nearby Amenities,Monthly Subscription,50 kWh/month,2707.01,23,62.1,Referral,No,No,Suburban
Model X,No,Long-Distance Traveler,5,Destination Charger,Low,Moderate,0.43,Fast,Destination,0.35,Fast,App Navigation Integration,Monthly Subscription,50 kWh/month,666.73,21,90.3,Discount,No,No,Suburban
Model Y,Yes,Long-Distance Traveler,3,Home,High,Moderate,0.41,Fast,Destination,0.35,Fast,App Navigation Integration,Monthly Subscription,50 kWh/month,2908.64,29,118.9,Loyalty Program,No,No,Highway Region
Model 3,Yes,Urban Commuter,2,Destination Charger,High,Fast,0.47,Fast,Highway,0.35,Fast,Nearby Amenities,Unlimited Fast-Charging,Unlimited,3671.58,21,98.7,Discount,No,No,Suburban
Model S,Yes,Long-Distance Traveler,2,Supercharger - Urban,High,Moderate,0.31,Fast,Destination,0.45,Fast,Nearby Amenities,Monthly Subscription,Unlimited,2026.24,17,52.7,Discount,Yes,No,Suburban
Model Y,Yes,Urban Commuter,1,Supercharger - Urban,Medium,Fast,0.36,Fast,Urban,0.35,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,999.78,18,64.8,Loyalty Program,Yes,Yes,Urban
Model Y,No,Urban Commuter,6,Home,Low,Moderate,0.48,Fast,Destination,0.45,Fast,None,Monthly Subscription,50 kWh/month,1753.56,15,72,None,No,No,Rural
Model Y,Yes,Urban Commuter,3,Supercharger - Urban,Low,Fast,0.41,Fast,Destination,0.35,Fast,None,Unlimited Fast-Charging,Unlimited,3972.15,17,69.7,Discount,No,No,Highway Region
Model 3,No,Long-Distance Traveler,3,Supercharger - Urban,Low,Moderate,0.35,Fast,Highway,0.25,Fast,None,Unlimited Fast-Charging,50 kWh/month,2080.6,22,77,Referral,Yes,Yes,Urban
